block_id,dataset,backbone,pred_len,seed,val_order,condition,arms,realised_mse,rel_gain_vs_best_fixed,oracle_headroom_pct,best_fixed_mse,oracle_mse,random_arm_mse,best_fixed_arm,oracle_match_acc,n_arms
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,shuffled,defect,fredf|none|revin|san_lite,0.18413425279663023,-0.6669529369461137,13.198622526576736,0.1829143004973686,0.15877213242759264,0.18704082447377235,fredf,0.2960175054704595,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,shuffled,control,fredf|none|revin|san_lite,0.1830535101388424,-0.07610648325215143,13.198622526576736,0.1829143004973686,0.15877213242759264,0.18704082447377235,fredf,0.33698030634573306,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,deterministic,index,fredf|none|revin|san_lite,0.1813048119375103,0.8743985550881623,13.502234964396955,0.18290412294574457,0.15820797850604065,0.18720201787131246,fredf,0.30310722100656456,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,deterministic,defect,fredf|none|revin|san_lite,0.1844903868585173,-0.8672652574612884,13.502234964396955,0.18290412294574457,0.15820797850604065,0.18720201787131246,fredf,0.3072210065645514,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,deterministic,control,fredf|none|revin|san_lite,0.1827423928125356,0.08842344863759302,13.502234964396955,0.18290412294574457,0.15820797850604065,0.18720201787131246,fredf,0.32341356673960614,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,shuffled,index,fredf|none|revin|san_lite,0.18031956203665006,1.4036750013568007,12.151850295733142,0.18288669688158404,0.1606625792657227,0.18637678609873604,fredf,0.31387308533916847,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,shuffled,defect,fredf|none|revin|san_lite,0.18389953264970682,-0.5538050527417917,12.151850295733142,0.18288669688158404,0.1606625792657227,0.18637678609873604,fredf,0.2961925601750547,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2022,shuffled,control,fredf|none|revin|san_lite,0.18279301433891254,0.05122436145924845,12.151850295733142,0.18288669688158404,0.1606625792657227,0.18637678609873604,fredf,0.31938730853391684,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2023,deterministic,index,fredf|none|revin|san_lite,0.18091752481025275,1.1365232609713662,13.418083774112539,0.1829973320560265,0.15844259673635797,0.18736045413960334,fredf,0.30730853391684904,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2023,deterministic,defect,fredf|none|revin|san_lite,0.18364752266686452,-0.3553005956605703,13.418083774112539,0.1829973320560265,0.15844259673635797,0.18736045413960334,fredf,0.2987308533916849,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2023,deterministic,control,fredf|none|revin|san_lite,0.18273654927750255,0.14250632814915215,13.418083774112539,0.1829973320560265,0.15844259673635797,0.18736045413960334,fredf,0.3312910284463895,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2023,shuffled,index,fredf|none|revin|san_lite,0.18045479218607985,1.3797965687880318,13.618092590742824,0.1829795375670137,0.15806121471902473,0.1873899878281081,fredf,0.31851203501094094,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2023,shuffled,defect,fredf|none|revin|san_lite,0.18445169744234638,-0.8045489101717235,13.618092590742824,0.1829795375670137,0.15806121471902473,0.1873899878281081,fredf,0.2877024070021882,4
