dataset,backbone,plugin,pred_len,seed,val_order,cell_id,mse,val_mse,best_epoch,epochs_run,n_val_windows,n_test_windows,n_train_windows,n_params,loader_shuffled_val,seq_len,batch_size,plugin_kind,train_seconds,device,truncated,timestamp,winerr_dir,block_id
ETTh2,DLinear,san_lite,336,2021,deterministic,DLinear_ETTh2_h336_san_lite_s2021_det,0.4213009819058394,0.3684442494573652,9,10,2545,2545,8209,65184,False,96,32,io,69.4,cuda:0,False,2026-09-16 22:30:04,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h336_san_lite_s2021_det,ETTh2_h336_DLinear
ETTh2,DLinear,fredf,720,2021,deterministic,DLinear_ETTh2_h720_fredf_s2021_det,0.6978411880970284,0.67643343792235,9,10,2161,2161,7825,139680,False,96,32,loss,61.5,cuda:0,False,2026-09-16 22:30:52,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h720_fredf_s2021_det,ETTh2_h720_DLinear
ETTh2,DLinear,none,720,2021,deterministic,DLinear_ETTh2_h720_none_s2021_det,0.8185345390795432,0.6922571052645472,2,6,2161,2161,7825,139680,False,96,32,io,38.7,cuda:0,False,2026-09-16 22:29:38,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h720_none_s2021_det,ETTh2_h720_DLinear
ETTh2,DLinear,revin,720,2021,deterministic,DLinear_ETTh2_h720_revin_s2021_det,0.4206006724805214,0.6199357729018442,9,10,2161,2161,7825,139694,False,96,32,io,65.7,cuda:0,False,2026-09-16 22:30:54,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h720_revin_s2021_det,ETTh2_h720_DLinear
ETTh2,DLinear,san_lite,720,2021,deterministic,DLinear_ETTh2_h720_san_lite_s2021_det,0.42099392461534013,0.6232430094435114,9,10,2161,2161,7825,139680,False,96,32,io,62.1,cuda:0,False,2026-09-16 22:31:03,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h720_san_lite_s2021_det,ETTh2_h720_DLinear
ETTh2,DLinear,fredf,96,2021,deterministic,DLinear_ETTh2_h96_fredf_s2021_det,0.3043871904689348,0.22362471806592307,9,10,2785,2785,8449,18624,False,96,32,loss,36.8,cuda:0,False,2026-09-16 22:27:41,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h96_fredf_s2021_det,ETTh2_h96_DLinear
ETTh2,DLinear,none,96,2021,deterministic,DLinear_ETTh2_h96_none_s2021_det,0.35092144397279995,0.2445736921026206,8,10,2785,2785,8449,18624,False,96,32,io,42.3,cuda:0,False,2026-09-16 22:26:44,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h96_none_s2021_det,ETTh2_h96_DLinear
ETTh2,DLinear,revin,96,2021,deterministic,DLinear_ETTh2_h96_revin_s2021_det,0.29395209453733107,0.2142131548351005,9,10,2785,2785,8449,18638,False,96,32,io,38.9,cuda:0,False,2026-09-16 22:27:34,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h96_revin_s2021_det,ETTh2_h96_DLinear
ETTh2,DLinear,san_lite,96,2021,deterministic,DLinear_ETTh2_h96_san_lite_s2021_det,0.3009433912662214,0.22259785057877315,9,10,2785,2785,8449,18624,False,96,32,io,40.1,cuda:0,False,2026-09-16 22:27:44,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h96_san_lite_s2021_det,ETTh2_h96_DLinear
ETTm1,DLinear,fredf,192,2021,deterministic,DLinear_ETTm1_h192_fredf_s2021_det,0.38255029468329854,0.5187302443829336,6,10,11329,11329,34273,37248,False,96,32,loss,266.8,cuda:0,False,2026-09-16 22:38:04,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTm1_h192_fredf_s2021_det,ETTm1_h192_DLinear
ETTm1,DLinear,none,192,2021,deterministic,DLinear_ETTm1_h192_none_s2021_det,0.38159852520566073,0.5101916538881804,6,10,11329,11329,34273,37248,False,96,32,io,215.7,cuda:0,False,2026-09-16 22:35:35,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTm1_h192_none_s2021_det,ETTm1_h192_DLinear
ETTm1,DLinear,revin,192,2021,deterministic,DLinear_ETTm1_h192_revin_s2021_det,0.3872940495317549,0.5351194704399553,4,8,11329,11329,34273,37262,False,96,32,io,217.4,cuda:0,False,2026-09-16 22:36:36,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTm1_h192_revin_s2021_det,ETTm1_h192_DLinear
ETTm1,DLinear,san_lite,192,2021,deterministic,DLinear_ETTm1_h192_san_lite_s2021_det,0.46114425914946344,0.5723487284414506,9,10,11329,11329,34273,37248,False,96,32,io,294.2,cuda:0,False,2026-09-16 22:38:59,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTm1_h192_san_lite_s2021_det,ETTm1_h192_DLinear
ETTm1,DLinear,fredf,336,2021,deterministic,DLinear_ETTm1_h336_fredf_s2021_det,0.41378556228907803,0.6486903955140935,5,9,11185,11185,34129,65184,False,96,32,loss,254.0,cuda:0,False,2026-09-16 22:42:29,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTm1_h336_fredf_s2021_det,ETTm1_h336_DLinear
