cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,2021,deterministic,val,2545,index_order,0.9994092632317441,50.462603974062006,0.0,0.019812737874300997,1
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,2021,deterministic,val,2545,full_permutation,0.018601509552210925,0.9587060321357708,0.16885342939413078,0.019812737874300997,0
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,2021,deterministic,test,2545,index_order,0.9970412675084482,50.34449874390271,0.0,0.01981218155221488,1
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,2021,deterministic,test,2545,full_permutation,0.014767870085040402,0.765233843940411,0.22206615498548066,0.01981218155221488,0
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,2021,shuffled,val,2545,index_order,0.9994090429793021,50.46259386361882,0.0,0.019812737479218624,1
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,2021,shuffled,val,2545,full_permutation,0.00461684505099264,0.25286393751765956,0.4001866788470637,0.019812737479218624,0
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,2021,shuffled,val,2545,observed_loader_order,-0.0004878798284200386,-0.0047847031493342095,0.5019088131022379,0.019812737479218624,0
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,2021,shuffled,test,2545,index_order,0.9970354468052272,50.34419828770337,0.0,0.019812184173957866,1
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,2021,shuffled,test,2545,full_permutation,0.009004835736092886,0.4743504004698418,0.3176250281696843,0.019812184173957866,0
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,2022,deterministic,val,2545,index_order,0.9994188323285904,50.463125229719154,0.0,0.019812722845409095,1
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,2022,deterministic,val,2545,full_permutation,-0.01826110499908175,-0.9018459187812115,0.8164306383622578,0.019812722845409095,0
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,2022,deterministic,test,2545,index_order,0.9970997663245289,50.3475412452256,0.0,0.01981214620247471,1
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,2022,deterministic,test,2545,full_permutation,0.0023579852277919385,0.13885759577398007,0.4447813399664596,0.01981214620247471,0
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,2022,shuffled,val,2545,index_order,0.9994126056096394,50.46280621368891,0.0,0.01981272470533815,1
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,2022,shuffled,val,2545,full_permutation,0.017791818385993086,0.9178394399282099,0.17935146535345714,0.01981272470533815,0
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,2022,shuffled,val,2545,observed_loader_order,-0.009365432014707895,-0.4528579681564031,0.6746744905979553,0.01981272470533815,0
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,2022,shuffled,test,2545,index_order,0.9970808652818638,50.34657902720546,0.0,0.019812149431322264,1
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,2022,shuffled,test,2545,full_permutation,-0.025398639961530866,-1.2621325256608316,0.8965494484156575,0.019812149431322264,0
