cell_id,draw,condition,assoc_rho_fstd,spearman_test
DLinear_ETTh1_h336_none_s2022_shuf,4,defect,0.03375517567133487,0.023882204833679234
DLinear_ETTh1_h336_none_s2022_shuf,4,control,0.019781943954516348,0.04710747615427752
DLinear_ETTh1_h336_none_s2022_shuf,5,defect,-0.014296514510421687,0.017842714852903813
DLinear_ETTh1_h336_none_s2022_shuf,5,control,-0.0007524098749944,0.018302037978168068
DLinear_ETTh1_h336_none_s2022_shuf,6,defect,0.01540287614287787,-0.02954130794462566
DLinear_ETTh1_h336_none_s2022_shuf,6,control,-0.026461053747579556,0.008001951703332084
DLinear_ETTh1_h336_none_s2022_shuf,7,defect,-0.007547815528731767,-0.18608401581832287
DLinear_ETTh1_h336_none_s2022_shuf,7,control,-0.028314130651080745,0.06864959322475582
DLinear_ETTh1_h336_none_s2023_det,0,defect,0.022550310597421713,0.008557006076691001
DLinear_ETTh1_h336_none_s2023_det,0,control,0.0016503475466474141,-0.21754073453615075
DLinear_ETTh1_h336_none_s2023_det,1,defect,-0.019228472853762914,0.2580574763750526
DLinear_ETTh1_h336_none_s2023_det,1,control,0.0615633837919771,0.056332934771900336
DLinear_ETTh1_h336_none_s2023_det,2,defect,-0.006723889143470705,-0.0002390750918280105
DLinear_ETTh1_h336_none_s2023_det,2,control,-0.013780290015168426,0.3272183826795655
DLinear_ETTh1_h336_none_s2023_det,3,defect,-0.02534197761958406,-0.126027572924239
DLinear_ETTh1_h336_none_s2023_det,3,control,-0.035973087953279914,0.14815049474320666
DLinear_ETTh1_h336_none_s2023_det,4,defect,0.0004210963975858984,0.08583035502582544
DLinear_ETTh1_h336_none_s2023_det,4,control,-0.017392048435778736,-0.3145437393609614
DLinear_ETTh1_h336_none_s2023_det,5,defect,0.015010864627314394,0.16069638584920112
DLinear_ETTh1_h336_none_s2023_det,5,control,0.005942604769283402,-0.14848685335310235
DLinear_ETTh1_h336_none_s2023_det,6,defect,0.0020993007310262635,-0.09394284768360073
DLinear_ETTh1_h336_none_s2023_det,6,control,-0.0017491311807000002,0.08175360071384659
DLinear_ETTh1_h336_none_s2023_det,7,defect,0.039655586858911344,0.011200707375158256
DLinear_ETTh1_h336_none_s2023_det,7,control,-0.05871323251388593,0.04353031020071048
DLinear_ETTh1_h336_none_s2023_shuf,0,defect,-0.013053726255640647,0.1996127659051548
DLinear_ETTh1_h336_none_s2023_shuf,0,control,-0.01804318317689349,0.05463231223551117
DLinear_ETTh1_h336_none_s2023_shuf,1,defect,0.004095178428174722,0.08364630903072519
DLinear_ETTh1_h336_none_s2023_shuf,1,control,0.028473327317461994,-0.01719113779856581
DLinear_ETTh1_h336_none_s2023_shuf,2,defect,0.03982059898072315,-0.0637732477804434
DLinear_ETTh1_h336_none_s2023_shuf,2,control,0.0048245660149109455,-0.04058501048592922
DLinear_ETTh1_h336_none_s2023_shuf,3,defect,-0.00589386922504078,0.0052139059594620155
DLinear_ETTh1_h336_none_s2023_shuf,3,control,-0.007038805292955252,0.06137190219496578
DLinear_ETTh1_h336_none_s2023_shuf,4,defect,0.049439791480135734,0.09446242161640973
DLinear_ETTh1_h336_none_s2023_shuf,4,control,0.012830819182888142,-0.04523365954937866
DLinear_ETTh1_h336_none_s2023_shuf,5,defect,-0.016719430357159344,-0.12036215376914816
DLinear_ETTh1_h336_none_s2023_shuf,5,control,-0.0009395954560888917,-0.2363896400277537
DLinear_ETTh1_h336_none_s2023_shuf,6,defect,0.019505215321675567,0.09703236934935691
DLinear_ETTh1_h336_none_s2023_shuf,6,control,-0.053186245029257964,0.005778177308980615
DLinear_ETTh1_h336_none_s2023_shuf,7,defect,-0.0011035927700564993,0.2701954034210132
DLinear_ETTh1_h336_none_s2023_shuf,7,control,0.035972920888991865,-0.13766693686407813
DLinear_ETTh1_h336_revin_s2021_det,0,defect,-0.0111251267809205,-0.0702325713629923
DLinear_ETTh1_h336_revin_s2021_det,0,control,-0.01745799882888804,-0.06853870561812282
DLinear_ETTh1_h336_revin_s2021_det,1,defect,-0.010591206247351433,0.023251710047946256
DLinear_ETTh1_h336_revin_s2021_det,1,control,-0.015099397610271188,0.16084101940010434
DLinear_ETTh1_h336_revin_s2021_det,2,defect,-0.008247222088840567,-0.24643089606807553
DLinear_ETTh1_h336_revin_s2021_det,2,control,-0.0014776698290688457,-0.15459252987681715
DLinear_ETTh1_h336_revin_s2021_det,3,defect,-0.015114585404732626,0.04391775842685272
DLinear_ETTh1_h336_revin_s2021_det,3,control,0.010749279280441417,-0.200390062292148
DLinear_ETTh1_h336_revin_s2021_det,4,defect,0.0032309169945210366,-0.021227581645690666
DLinear_ETTh1_h336_revin_s2021_det,4,control,-0.018577465148004662,0.14081160404584014
DLinear_ETTh1_h336_revin_s2021_det,5,defect,-0.004406971916171586,0.09682761370612136
DLinear_ETTh1_h336_revin_s2021_det,5,control,-0.01629272962179152,0.0007168907700822482
DLinear_ETTh1_h336_revin_s2021_det,6,defect,0.014659516481425026,0.07268782132333222
DLinear_ETTh1_h336_revin_s2021_det,6,control,0.009630905655543585,-0.20857667653473477
DLinear_ETTh1_h336_revin_s2021_det,7,defect,0.02426833748372715,0.04209177159672432
DLinear_ETTh1_h336_revin_s2021_det,7,control,-0.020685547471543428,0.13549691759509452
DLinear_ETTh1_h336_revin_s2021_shuf,0,defect,0.013123076301272144,-0.07036098215741307
DLinear_ETTh1_h336_revin_s2021_shuf,0,control,0.02886931176221482,-0.005649235785289245
DLinear_ETTh1_h336_revin_s2021_shuf,1,defect,-0.004546266041821258,0.19717420488526766
DLinear_ETTh1_h336_revin_s2021_shuf,1,control,-0.036720882450824166,-0.10118423788040581
DLinear_ETTh1_h336_revin_s2021_shuf,2,defect,0.029852179656342785,0.1857393395801884
DLinear_ETTh1_h336_revin_s2021_shuf,2,control,0.005403803874593238,-0.1013929678396438
DLinear_ETTh1_h336_revin_s2021_shuf,3,defect,0.00954806472861392,-0.10541425288193881
DLinear_ETTh1_h336_revin_s2021_shuf,3,control,-0.008218152491542284,-0.08382145345625401
DLinear_ETTh1_h336_revin_s2021_shuf,4,defect,-0.012161525044129264,0.007614958098642159
DLinear_ETTh1_h336_revin_s2021_shuf,4,control,-0.009000008328062532,0.10382816294678009
DLinear_ETTh1_h336_revin_s2021_shuf,5,defect,-0.00027298500852650915,-0.0002285401661806266
DLinear_ETTh1_h336_revin_s2021_shuf,5,control,-0.024282961095630582,0.22687964952373313
DLinear_ETTh1_h336_revin_s2021_shuf,6,defect,0.01478808167476522,0.07102390448681165
